# wavelength flux fluxerr
1.01194e+04 7.12031e+00 7.07558e-01
1.01661e+04 5.11171e+00 4.71404e-01
1.02128e+04 4.45045e+00 3.80009e-01
1.02595e+04 4.79417e+00 3.52553e-01
1.03062e+04 4.45929e+00 3.40970e-01
1.03530e+04 4.71304e+00 3.36297e-01
1.03997e+04 4.58713e+00 3.28445e-01
1.04464e+04 5.02817e+00 3.29934e-01
1.04931e+04 4.40527e+00 3.40754e-01
1.05398e+04 4.69116e+00 3.51494e-01
1.05865e+04 4.28334e+00 3.36166e-01
1.06332e+04 3.86210e+00 3.82939e-01
1.06799e+04 4.42274e+00 3.42318e-01
1.07266e+04 4.18816e+00 3.22110e-01
1.07733e+04 3.81972e+00 3.26169e-01
1.08200e+04 4.73202e+00 3.30603e-01
1.08667e+04 4.79600e+00 3.25087e-01
1.09134e+04 4.43715e+00 3.23609e-01
1.09602e+04 4.51370e+00 3.03388e-01
1.10069e+04 3.77242e+00 2.99698e-01
1.10536e+04 3.64162e+00 2.92882e-01
1.11003e+04 4.73546e+00 2.94533e-01
1.11470e+04 4.56392e+00 3.01222e-01
1.11937e+04 4.10083e+00 3.43916e-01
1.12404e+04 4.12851e+00 3.70000e-01
1.12871e+04 4.31551e+00 3.48130e-01
1.13338e+04 3.48100e+00 3.41965e-01
1.13805e+04 3.72566e+00 2.96913e-01
1.14272e+04 4.71484e+00 2.89985e-01
1.14739e+04 4.31678e+00 2.82528e-01
1.15206e+04 3.72068e+00 2.72972e-01
1.15673e+04 4.10702e+00 2.76545e-01
1.16141e+04 4.16496e+00 2.62858e-01
1.16608e+04 4.31202e+00 2.71046e-01
1.17075e+04 4.00043e+00 2.60612e-01
1.17542e+04 3.96178e+00 2.55143e-01
1.18009e+04 4.06257e+00 2.55022e-01
1.18476e+04 3.75111e+00 2.56909e-01
1.18943e+04 4.16170e+00 2.58883e-01
1.19410e+04 4.29390e+00 2.59621e-01
1.19877e+04 3.90284e+00 2.74764e-01
1.20344e+04 3.77859e+00 2.70754e-01
1.20811e+04 4.80672e+00 2.71626e-01
1.21278e+04 4.86132e+00 2.80600e-01
1.21745e+04 4.29168e+00 2.90023e-01
1.22212e+04 4.63968e+00 2.83573e-01
1.22680e+04 3.68284e+00 3.04864e-01
1.23147e+04 3.65320e+00 2.76865e-01
1.23614e+04 4.02282e+00 2.64541e-01
1.24081e+04 4.27073e+00 2.75520e-01
1.24548e+04 4.16618e+00 2.82521e-01
1.25015e+04 4.00721e+00 2.79458e-01
1.25482e+04 3.98182e+00 2.67182e-01
1.25949e+04 4.59200e+00 2.59399e-01
1.26416e+04 4.19683e+00 2.63369e-01
1.26883e+04 4.02608e+00 2.63376e-01
1.35291e+04 1.00315e+01 3.93698e-01
1.35758e+04 1.16144e+01 4.00733e-01
1.36225e+04 1.13658e+01 3.98861e-01
1.36692e+04 1.23197e+01 4.09626e-01
1.37159e+04 1.13694e+01 4.11714e-01
1.37626e+04 1.14763e+01 4.14261e-01
1.38093e+04 1.23436e+01 4.34541e-01
1.38560e+04 1.22294e+01 4.27304e-01
1.39027e+04 1.22767e+01 4.42345e-01
1.39494e+04 1.28803e+01 4.42781e-01
1.39961e+04 1.25249e+01 4.37889e-01
1.40428e+04 1.25840e+01 4.44093e-01
1.40895e+04 1.33597e+01 4.47154e-01
1.41362e+04 1.50018e+01 4.48828e-01
1.41830e+04 1.41688e+01 4.50454e-01
1.42297e+04 1.46940e+01 4.50705e-01
1.42764e+04 1.34565e+01 4.46165e-01
1.43231e+04 1.29555e+01 4.54550e-01
1.43698e+04 1.17608e+01 4.54144e-01
1.44165e+04 1.31506e+01 4.65195e-01
1.44632e+04 1.37798e+01 4.60758e-01
1.45099e+04 1.34153e+01 4.67210e-01
1.45566e+04 1.36831e+01 4.83934e-01
1.46033e+04 1.38353e+01 5.38228e-01
1.46500e+04 1.36743e+01 5.81742e-01
1.46967e+04 1.35992e+01 5.74639e-01
1.47434e+04 1.67927e+01 5.52971e-01
1.47902e+04 1.42971e+01 5.20251e-01
1.48369e+04 1.39091e+01 5.07217e-01
1.48836e+04 1.47265e+01 5.04189e-01
1.49303e+04 1.40019e+01 5.10224e-01
1.49770e+04 1.44511e+01 5.16131e-01
1.50237e+04 1.32071e+01 5.09357e-01
1.50704e+04 1.39088e+01 5.03345e-01
1.51171e+04 1.33252e+01 5.01104e-01
1.51638e+04 1.30641e+01 5.02944e-01
1.52105e+04 1.25879e+01 5.15056e-01
1.52572e+04 1.26305e+01 5.18554e-01
1.53039e+04 1.34781e+01 5.34224e-01
1.53506e+04 1.35525e+01 5.26515e-01
1.53973e+04 1.47740e+01 5.33762e-01
1.54441e+04 1.55047e+01 5.43042e-01
1.54908e+04 1.49151e+01 5.50872e-01
1.55375e+04 1.46908e+01 5.60252e-01
1.55842e+04 1.64971e+01 5.65338e-01
1.56309e+04 1.44582e+01 5.64743e-01
1.56776e+04 1.40108e+01 5.68441e-01
1.57243e+04 1.47696e+01 5.63286e-01
1.57710e+04 1.55956e+01 5.61516e-01
1.58177e+04 1.49347e+01 5.64389e-01
1.58644e+04 1.55018e+01 5.69667e-01
1.59111e+04 1.54366e+01 5.68859e-01
1.59578e+04 1.48323e+01 5.70727e-01
1.60045e+04 1.47622e+01 5.71221e-01
1.60512e+04 1.41929e+01 5.73787e-01
1.60980e+04 1.50556e+01 5.97170e-01
1.61447e+04 1.45095e+01 5.80522e-01
1.61914e+04 1.67615e+01 5.88464e-01
1.62381e+04 1.68016e+01 5.93129e-01
1.62848e+04 1.56508e+01 6.03638e-01
1.63315e+04 1.47386e+01 6.24730e-01
1.63782e+04 1.59426e+01 6.24174e-01
1.64249e+04 1.55070e+01 6.64564e-01
1.64716e+04 1.73837e+01 6.97676e-01
